"$e_r []","TraceW [mm]","Freq [GHz]","re(Zin) []","im(Zin) []"
4.2,0.15,2.1125,40.7535151790586,-14.2009282751552
4.2,0.15,2.115,40.72300620775,-14.2049170642248
4.2,0.15,2.1175,40.6924763545512,-14.2088096515392
4.2,0.15,2.12,40.6619261920739,-14.2126057505566
4.2,0.15,2.1225,40.631356297832,-14.2163050788802
4.2,0.15,2.125,40.6007672542156,-14.2199073583287
4.2,0.15,2.1275,40.5701596484659,-14.2234123150057
4.2,0.15,2.13,40.5395340726473,-14.2268196793687
4.2,0.15,2.1325,40.5088911236194,-14.2301291862989
4.2,0.15,2.135,40.478231403008,-14.2333405751689
4.2,0.15,2.1375,40.4475555171743,-14.2364535899116
4.2,0.15,2.14,40.4168640771842,-14.2394679790877
4.2,0.15,2.1425,40.3861576987755,-14.2423834959532
4.2,0.15,2.145,40.3554370023244,-14.2451998985258
4.2,0.15,2.1475,40.3247026128115,-14.2479169496516
4.2,0.15,2.15,40.2939551597863,-14.2505344170709
4.2,0.15,2.1525,40.2631952773308,-14.253052073483
4.2,0.15,2.155,40.2324236040219,-14.2554696966107
4.2,0.15,2.1575,40.2016407828936,-14.2577870692646
4.2,0.15,2.16,40.1708474613974,-14.260003979406
4.2,0.15,2.1625,40.1400442913619,-14.2621202202093
4.2,0.15,2.165,40.1092319289526,-14.2641355901237
4.2,0.15,2.1675,40.0784110346289,-14.2660498929342
4.2,0.15,2.17,40.0475822731016,-14.2678629378219
4.2,0.15,2.1725,40.0167463132896,-14.2695745394228
4.2,0.15,2.175,39.9859038282748,-14.2711845178865
4.2,0.15,2.1775,39.955055495257,-14.2726926989332
4.2,0.15,2.18,39.9242019955076,-14.274098913911
4.2,0.15,2.1825,39.893344014323,-14.2754029998504
4.2,0.15,2.185,39.8624822409768,-14.2766047995194
4.2,0.15,2.1875,39.8316173686712,-14.2777041614767
4.2,0.15,2.19,39.8007500944884,-14.278700940124
4.2,0.15,2.1925,39.7698811193408,-14.2795949957571
4.2,0.15,2.195,39.7390111479205,-14.2803861946161
4.2,0.15,2.1975,39.7081408886489,-14.2810744089341
4.2,0.15,2.2,39.6772710536249,-14.2816595169847
4.2,0.15,2.2025,39.6464023585732,-14.2821414031285
4.2,0.15,2.205,39.6155355227918,-14.2825199578579
4.2,0.15,2.2075,39.5846712690995,-14.2827950778409
4.2,0.15,2.21,39.5538103237821,-14.2829666659632
4.2,0.15,2.2125,39.5229534165397,-14.2830346313696
4.2,0.15,2.215,39.4921012804322,-14.2829988895028
4.2,0.15,2.2175,39.4612546518254,-14.2828593621417
4.2,0.15,2.22,39.4304142703371,-14.2826159774379
4.2,0.15,2.2225,39.399580878782,-14.2822686699503
4.2,0.15,2.225,39.3687552231177,-14.2818173806789
4.2,0.15,2.2275,39.3379380523898,-14.2812620570961
4.2,0.15,2.23,39.3071301186775,-14.2806026531769
4.2,0.15,2.2325,39.2763321770391,-14.2798391294273
4.2,0.15,2.235,39.2455449854573,-14.278971452911
4.2,0.15,2.2375,39.2147693047854,-14.2779995972741
4.2,0.15,2.24,39.1840058986934,-14.2769235427685
4.2,0.15,2.2425,39.1532555336137,-14.275743276273
4.2,0.15,2.245,39.1225189786888,-14.274458791313
4.2,0.15,2.2475,39.0917970057178,-14.2730700880775
4.2,0.15,2.25,39.0610903891044,-14.2715771734356
4.2,0.15,2.2525,39.0303999058055,-14.2699800609493
4.2,0.15,2.255,38.9997263352796,-14.268278770886
4.2,0.15,2.2575,38.9690704594375,-14.2664733302276
4.2,0.15,2.26,38.938433062592,-14.2645637726785
4.2,0.15,2.2625,38.9078149314104,-14.2625501386711
4.2,0.15,2.265,38.8772168548666,-14.2604324753692
4.2,0.15,2.2675,38.8466396241947,-14.2582108366694
4.2,0.15,2.27,38.8160840328444,-14.2558852832002
4.2,0.15,2.2725,38.7855508764372,-14.2534558823189
4.2,0.15,2.275,38.7550409527235,-14.2509227081066
4.2,0.15,2.2775,38.7245550615427,-14.2482858413603
4.2,0.15,2.28,38.6940940047832,-14.2455453695833
4.2,0.15,2.2825,38.6636585863454,-14.2427013869728
4.2,0.15,2.285,38.6332496121058,-14.2397539944059
