"$e_r []","TraceW [mm]","Freq [GHz]","re(Zin) []","im(Zin) []"
4.3,0.15,2.065,40.3377594219298,-13.5947401379419
4.3,0.15,2.0675,40.3091233274929,-13.598403946564
4.3,0.15,2.07,40.2804703626544,-13.6019890132568
4.3,0.15,2.0725,40.2518008325667,-13.6054951644438
4.3,0.15,2.075,40.2231150439813,-13.6089222269752
4.3,0.15,2.0775,40.194413305258,-13.6122700281158
4.3,0.15,2.08,40.1656959263745,-13.615538395532
4.3,0.15,2.0825,40.1369632189361,-13.618727157279
4.3,0.15,2.085,40.108215496186,-13.6218361417862
4.3,0.15,2.0875,40.0794530730163,-13.6248651778431
4.3,0.15,2.09,40.0506762659797,-13.6278140945834
4.3,0.15,2.0925,40.0218853933009,-13.6306827214694
4.3,0.15,2.095,39.9930807748899,-13.6334708882748
4.3,0.15,2.0975,39.964262732355,-13.6361784250674
4.3,0.15,2.1,39.9354315890164,-13.6388051621906
4.3,0.15,2.1025,39.9065876699215,-13.6413509302442
4.3,0.15,2.105,39.8777313018597,-13.6438155600643
4.3,0.15,2.1075,39.8488628133784,-13.6461988827025
4.3,0.15,2.11,39.8199825348007,-13.6485007294042
4.3,0.15,2.1125,39.7910907982421,-13.6507209315855
4.3,0.15,2.115,39.7621879376299,-13.65285932081
4.3,0.15,2.1175,39.7332742887224,-13.6549157287637
4.3,0.15,2.12,39.7043501891295,-13.6568899872294
4.3,0.15,2.1225,39.6754159783341,-13.6587819280601
4.3,0.15,2.125,39.6464719977146,-13.6605913831508
4.3,0.15,2.1275,39.6175185905691,-13.66231818441
4.3,0.15,2.13,39.5885561021396,-13.6639621637289
4.3,0.15,2.1325,39.5595848796385,-13.6655231529506
4.3,0.15,2.135,39.5306052722759,-13.667000983837
4.3,0.15,2.1375,39.5016176312882,-13.6683954880353
4.3,0.15,2.14,39.4726223099686,-13.6697064970423
4.3,0.15,2.1425,39.4436196636982,-13.6709338421681
4.3,0.15,2.145,39.4146100499799,-13.6720773544978
4.3,0.15,2.1475,39.3855938284726,-13.6731368648522
4.3,0.15,2.15,39.3565713610285,-13.6741122037463
4.3,0.15,2.1525,39.3275430117311,-13.6750032013469
4.3,0.15,2.155,39.2985091469356,-13.6758096874285
4.3,0.15,2.1575,39.2694701353116,-13.6765314913268
4.3,0.15,2.16,39.2404263478874,-13.6771684418912
4.3,0.15,2.1625,39.2113781580968,-13.6777203674353
4.3,0.15,2.165,39.1823259418285,-13.6781870956854
4.3,0.15,2.1675,39.1532700774772,-13.6785684537272
4.3,0.15,2.17,39.1242109459986,-13.67886426795
4.3,0.15,2.1725,39.0951489309661,-13.6790743639901
4.3,0.15,2.175,39.0660844186304,-13.6791985666705
4.3,0.15,2.1775,39.0370177979834,-13.6792366999393
4.3,0.15,2.18,39.0079494608238,-13.6791885868059
4.3,0.15,2.1825,38.9788798018271,-13.6790540492741
4.3,0.15,2.185,38.949809218619,-13.6788329082737
4.3,0.15,2.1875,38.9207381118528,-13.6785249835889
4.3,0.15,2.19,38.8916668852903,-13.6781300937844
4.3,0.15,2.1925,38.8625959458875,-13.6776480561288
4.3,0.15,2.195,38.8335257038848,-13.677078686515
4.3,0.15,2.1975,38.8044565729016,-13.6764217993781
4.3,0.15,2.2,38.7753889700365,-13.6756772076104
4.3,0.15,2.2025,38.7463233159725,-13.6748447224729
4.3,0.15,2.205,38.7172600350878,-13.6739241535039
4.3,0.15,2.2075,38.688199555573,-13.6729153084249
4.3,0.15,2.21,38.6591423095545,-13.6718179930428
4.3,0.15,2.2125,38.6300887332243,-13.6706320111481
4.3,0.15,2.215,38.6010392669776,-13.669357164411
4.3,0.15,2.2175,38.5719943555574,-13.6679932522729
4.3,0.15,2.22,38.5429544482074,-13.6665400718345
4.3,0.15,2.2225,38.5139199988341,-13.6649974177404
4.3,0.15,2.225,38.4848914661764,-13.6633650820599
4.3,0.15,2.2275,38.4558693139862,-13.6616428541635
4.3,0.15,2.23,38.4268540112193,-13.659830520596
4.3,0.15,2.2325,38.3978460322359,-13.6579278649454
4.3,0.15,2.235,38.3688458570141,-13.6559346677077
4.3,0.15,2.2375,38.3398539713747,-13.6538507061474
4.3,0.15,2.24,38.3108708672197,-13.6516757541546
4.3,0.15,2.2425,38.2818970427847,-13.6494095820973
4.3,0.15,2.245,38.2529330029054,-13.6470519566696
4.3,0.15,2.2475,38.2239792593009,-13.6446026407363
4.3,0.15,2.25,38.1950363308732,-13.6420613931727
4.3,0.15,2.2525,38.1661047440247,-13.6394279687014
4.3,0.15,2.255,38.1371850329951,-13.6367021177242
4.3,0.15,2.2575,38.1082777402178,-13.6338835861505
4.3,0.15,2.26,38.0793834166994,-13.6309721152232
4.3,0.15,2.2625,38.0505026224209,-13.6279674413392
4.3,0.15,2.265,38.0216359267646,-13.6248692958692
4.3,0.15,2.2675,37.9927839089664,-13.6216774049724
4.3,0.15,2.27,37.9639471585977,-13.6183914894111
4.3,0.15,2.2725,37.9351262760752,-13.6150112643616
4.3,0.15,2.275,37.906321873205,-13.6115364392253
4.3,0.15,2.2775,37.8775345737587,-13.6079667174383
4.3,0.15,2.28,37.848765014088,-13.6043017962812
4.3,0.15,2.2825,37.8200138437765,-13.600541366691
4.3,0.15,2.285,37.7912817263346,-13.5966851130741
4.3,0.15,2.2875,37.7625693399383,-13.5927327131234
4.3,0.15,2.29,37.7338773782147,-13.5886838376402
4.3,0.15,2.2925,37.7052065510798,-13.5845381503623
4.3,0.15,2.295,37.6765575856292,-13.5802953078013
4.3,0.15,2.2975,37.6479312270869,-13.5759549590896
4.3,0.15,2.3,37.6193282398165,-13.5715167458414
4.3,0.15,2.3025,37.5907494083973,-13.5669803020288
4.3,0.15,2.305,37.5621955387711,-13.5623452538776
4.3,0.15,2.3075,37.5336674594645,-13.5576112197863
4.3,0.15,2.31,37.5051660228902,-13.5527778102707
4.3,0.15,2.3125,37.476692106734,-13.547844627942
4.3,0.15,2.315,37.4482466154322,-13.5428112675211
4.3,0.15,2.3175,37.4198304817462,-13.537677315896
4.3,0.15,2.32,37.3914446684384,-13.5324423522298
4.3,0.15,2.3225,37.3630901700581,-13.5271059481266
4.3,0.15,2.325,37.3347680148426,-13.521667667864
4.3,0.15,2.3275,37.3064792667401,-13.516127068702
4.3,0.15,2.33,37.2782250275633,-13.5104837012805
4.3,0.15,2.3325,37.2500064392781,-13.5047371101167
4.3,0.15,2.335,37.2218246864377,-13.4988868342177
4.3,0.15,2.3375,37.1936809987668,-13.4929324078232
4.3,0.15,2.34,37.1655766539049,-13.4868733612978
4.3,0.15,2.3425,37.1375129803154,-13.480709222191
4.3,0.15,2.345,37.1094913603664,-13.4744395164898
4.3,0.15,2.3475,37.0815132335902,-13.4680637700866
4.3,0.15,2.35,37.0535801001267,-13.461581510493
4.3,0.15,2.3525,37.025693524355,-13.4549922688296
4.3,0.15,2.355,36.9978551387157,-13.4482955821273
4.3,0.15,2.3575,36.9700666477258,-13.441490995979
4.3,0.15,2.36,36.9423298321843,-13.4345780675855
4.3,0.15,2.3625,36.914646553565,-13.4275563692432
4.3,0.15,2.365,36.8870187585876,-13.4204254923265
4.3,0.15,2.3675,36.8594484839567,-13.4131850518243
4.3,0.15,2.37,36.8319378612494,-13.4058346914931
4.3,0.15,2.3725,36.8044891219283,-13.3983740896991
4.3,0.15,2.375,36.777104602447,-13.3908029660233
4.3,0.15,2.3775,36.7497867494076,-13.3831210887146
4.3,0.15,2.38,36.7225381247154,-13.3753282830792
4.3,0.15,2.3825,36.6953614106664,-13.3674244409012
4.3,0.15,2.385,36.6682594148835,-13.3594095309976
4.3,0.15,2.3875,36.641235075003,-13.3512836110124
4.3,0.15,2.39,36.6142914629872,-13.3430468405612
4.3,0.15,2.3925,36.5874317889173,-13.3346994958395
4.3,0.15,2.395,36.5606594040919,-13.3262419858071
4.3,0.15,2.3975,36.5339778032216,-13.3176748700589
4.3,0.15,2.4,36.5073906254777,-13.3089988784867
4.3,0.15,2.4025,36.4809016541077,-13.3002149328209
4.3,0.15,2.405,36.4545148142882,-13.2913241701269
4.3,0.15,2.4075,36.4282341688354,-13.2823279683019
4.3,0.15,2.41,36.4020639113387,-13.2732279735804
4.3,0.15,2.4125,36.3760083562304,-13.2640261300101
4.3,0.15,2.415,36.3500719252439,-13.2547247107955
4.3,0.15,2.4175,36.3242591296568,-13.2453263513261
4.3,0.15,2.42,36.2985745476636,-13.2358340836072
4.3,0.15,2.4225,36.2730227961733,-13.2262513716886
4.3,0.15,2.425,36.2476084962938,-13.2165821475415
4.3,0.15,2.4275,36.2223362317491,-13.2068308466597
4.3,0.15,2.43,36.1972104994817,-13.1970024424639
4.3,0.15,2.4325,36.1722356517374,-13.1871024783576
4.3,0.15,2.435,36.1474158290176,-13.1771370960381
4.3,0.15,2.4375,36.1227548834286,-13.1671130583898
4.3,0.15,2.44,36.0982562921706,-13.1570377650128
4.3,0.15,2.4425,36.0739230612072,-13.1469192581565
4.3,0.15,2.445,36.0497576195424,-13.136766216575
4.3,0.15,2.4475,36.025761705026,-13.1265879346024
4.3,0.15,2.45,36.0019362432055,-13.1163942836118
4.3,0.15,2.4525,35.9782812214475,-13.106195652987
4.3,0.15,2.455,35.9547955613445,-13.0960028678551
4.3,0.15,2.4575,35.9314769932883,-13.0858270811426
4.3,0.15,2.46,35.908321937979,-13.0756796380539
4.3,0.15,2.4625,35.8853254004989,-13.0655719118907
4.3,0.15,2.465,35.862480883332,-13.0555151112275
4.3,0.15,2.4675,35.8397803252674,-13.0455200598599
4.3,0.15,2.47,35.8172140733783,-13.0355969526063
4.3,0.15,2.4725,35.794770895122,-13.0257550919209
4.3,0.15,2.475,35.7724380369502,-13.0160026122622
4.3,0.15,2.4775,35.750201334597,-13.0063462011192
4.3,0.15,2.48,35.7280453783694,-12.9967908273521
4.3,0.15,2.4825,35.7059537343521,-12.9873394888568
4.3,0.15,2.485,35.6839092195134,-12.9779929923104
4.3,0.15,2.4875,35.6618942254625,-12.9687497777226
4.3,0.15,2.49,35.6398910822641,-12.9596057995602
4.3,0.15,2.4925,35.6178824505689,-12.9505544742949
4.3,0.15,2.495,35.5958517276735,-12.9415867013721
4.3,0.15,2.4975,35.5737834512746,-12.9326909609831
4.3,0.15,2.5,35.5516636838737,-12.9238534878813
4.3,0.15,2.5025,35.5294803611746,-12.9150585161766
4.3,0.15,2.505,35.5072235894126,-12.9062885859204
4.3,0.15,2.5075,35.4848858792694,-12.8975248987652
4.3,0.15,2.51,35.4624623076271,-12.888747707336
4.3,0.15,2.5125,35.4399506025766,-12.8799367214448
4.3,0.15,2.515,35.417351151441,-12.8710715139816
4.3,0.15,2.5175,35.3946669357246,-12.8621319102321
4.3,0.15,2.52,35.3719034005087,-12.8530983463131
4.3,0.15,2.5225,35.3490682686387,-12.8439521851666
4.3,0.15,2.525,35.3261713119151,-12.8346759817901
4.3,0.15,2.5275,35.3032240923872,-12.8252536927943
4.3,0.15,2.53,35.2802396868042,-12.8156708286843
4.3,0.15,2.5325,35.257232406432,-12.8059145502074
4.3,0.15,2.535,35.2342175230045,-12.7959737125463
4.3,0.15,2.5375,35.2112110097279,-12.7858388629604
4.3,0.15,2.54,35.1882293042234,-12.7755021986734
4.3,0.15,2.5425,35.1652890982382,-12.7649574924121
4.3,0.15,2.545,35.1424071570304,-12.7541999930924
4.3,0.15,2.5475,35.1196001696354,-12.7432263088289
4.3,0.15,2.55,35.0968846298127,-12.732034278826
4.3,0.15,2.5525,35.0742767463682,-12.7206228398933
4.3,0.15,2.555,35.0517923807537,-12.7089918924162
4.3,0.15,2.5575,35.0294470093287,-12.6971421696773
4.3,0.15,2.56,35.00725570739,-12.6850751135238
4.3,0.15,2.5625,34.9852331520002,-12.6727927585593
4.3,0.15,2.565,34.9633936407126,-12.6602976263152
4.3,0.15,2.5675,34.941751123477,-12.6475926302545
4.3,0.15,2.57,34.9203192452611,-12.6346809919681
4.3,0.15,2.5725,34.899111397222,-12.621566168544
4.3,0.15,2.575,34.8781407745762,-12.6082517908064
4.3,0.15,2.5775,34.8574204396319,-12.5947416119243
4.3,0.15,2.58,34.8369633887476,-12.5810394657665
4.3,0.15,2.5825,34.8167826222673,-12.5671492343162
4.3,0.15,2.585,34.796891216731,-12.5530748234394
4.3,0.15,2.5875,34.7773023988949,-12.5388201463216
4.3,0.15,2.59,34.7580296212928,-12.5243891139354
4.3,0.15,2.5925,34.7390866392474,-12.5097856319684
4.3,0.15,2.595,34.7204875893934,-12.4950136037194
4.3,0.15,2.5975,34.7022470699088,-12.4800769385692
4.3,0.15,2.6,34.684380222765,-12.4649795657232
4.3,0.15,2.6025,34.666902818415,-12.4497254530334
4.3,0.15,2.605,34.6498313434278,-12.434318630812
4.3,0.15,2.6075,34.6331830916694,-12.4187632206626
4.3,0.15,2.61,34.6169762597126,-12.4030634694717
4.3,0.15,2.6125,34.6012300472423,-12.3872237888274
4.3,0.15,2.615,34.5859647633082,-12.371248800264
4.3,0.15,2.6175,34.5712019393659,-12.3551433868709
4.3,0.15,2.62,34.556964450145,-12.3389127519661
4.3,0.15,2.6225,34.5432766434888,-12.3225624857017
4.3,0.15,2.625,34.5301644804241,-12.3060986406711
4.3,0.15,2.6275,34.517655686856,-12.2895278178094
4.3,0.15,2.63,34.5057799184215,-12.2728572641387
4.3,0.15,2.6325,34.4945689402079,-12.2560949842132
4.3,0.15,2.635,34.4840568232208,-12.2392498674763
4.3,0.15,2.6375,34.4742801596969,-12.2223318341591
4.3,0.15,2.64,34.465278299589,-12.205352002856
4.3,0.15,2.6425,34.457093610807,-12.1883228835089
4.3,0.15,2.645,34.4497717660876,-12.1712586002498
4.3,0.15,2.6475,34.4433620596775,-12.1541751494217
4.3,0.15,2.65,34.4379177573592,-12.1370906991416
4.3,0.15,2.6525,34.4334964837131,-12.1200259380436
4.3,0.15,2.655,34.4301606508987,-12.1030044823845
4.3,0.15,2.6575,34.427977933629,-12.0860533525849
4.3,0.15,2.66,34.4270217954014,-12.0692035325859
4.3,0.15,2.6625,34.4273720713977,-12.0524906282432
4.3,0.15,2.665,34.4291156137427,-12.0359556444635
4.3,0.15,2.6675,34.4323470049474,-12.0196459051017
4.3,0.15,2.67,34.4371693452727,-12.003616144957
4.3,0.15,2.6725,34.4436951192937,-11.9879298098141
4.3,0.15,2.675,34.4520471459333,-11.972660608671
4.3,0.15,2.6775,34.4623596143739,-11.9578943725078
4.3,0.15,2.68,34.4747792051447,-11.9437312866633
4.3,0.15,2.6825,34.4894662907125,-11.9302885797553
4.3,0.15,2.685,34.5065962022133,-11.9177037718718
4.3,0.15,2.6875,34.5263605373104,-11.906138609439
4.3,0.15,2.69,34.5489684667292,-11.8957838448861
4.3,0.15,2.6925,34.5746479712045,-11.8868650573129
4.3,0.15,2.695,34.6036469025955,-11.8796497573145
4.3,0.15,2.6975,34.6362337073364,-11.8744560764505
4.3,0.15,2.7,34.6726975693128,-11.8716634108368
4.3,0.15,2.7025,34.7133476113712,-11.8717254694759
4.3,0.15,2.705,34.758510623741,-11.8751862698598
4.3,0.15,2.7075,34.8085265405766,-11.8826997209513
4.3,0.15,2.71,34.8637405301398,-11.8950535244957
4.3,0.15,2.7125,34.9244900549917,-11.9131981840853
4.3,0.15,2.715,34.9910845359,-11.9382818881268
4.3,0.15,2.7175,35.0637742405227,-11.9716918373066
4.3,0.15,2.72,35.1427036267946,-12.0151020590604
4.3,0.15,2.7225,35.2278425190214,-12.070526616191
4.3,0.15,2.725,35.3188861553331,-12.1403749192465
4.3,0.15,2.7275,35.4151124609774,-12.2275018718714
4.3,0.15,2.73,35.5151824208517,-12.3352387453058
4.3,0.15,2.7325,35.6168685476192,-12.4673795720271
4.3,0.15,2.735,35.7167001834885,-12.6280809888223
4.3,0.15,2.7375,35.8095284414943,-12.8216103549801
4.3,0.15,2.74,35.888047354953,-13.0518507664045
4.3,0.15,2.7425,35.9423735221453,-13.3214543492604
4.3,0.15,2.745,35.9598928340843,-13.6305557924887
4.3,0.15,2.7475,35.9257158860158,-13.9750673210544
4.3,0.15,2.75,35.8241725832998,-14.344832505303
4.3,0.15,2.7525,35.6416639827694,-14.7223209777288
4.3,0.15,2.755,35.3706802710189,-15.0829228296001
4.3,0.15,2.7575,35.0138771954609,-15.3978253938935
4.3,0.15,2.76,34.5862701547521,-15.6394944335749
4.3,0.15,2.7625,34.1137815037171,-15.7881359140249
4.3,0.15,2.765,33.6280292164817,-15.8363726910473
4.3,0.15,2.7675,33.1594115149088,-15.789996549368
4.3,0.15,2.77,32.7314295779456,-15.6648116473478
4.3,0.15,2.7725,32.3581149490344,-15.4815227090035
4.3,0.15,2.775,32.0445198310803,-15.2609735979259
4.3,0.15,2.7775,31.7889939575769,-15.021064396041
4.3,0.15,2.78,31.5858653639442,-14.7754864612679
4.3,0.15,2.7825,31.4276746960649,-14.5337477947925
4.3,0.15,2.785,31.3066848164773,-14.3018513881948
4.3,0.15,2.7875,31.2157311853284,-14.0831600264133
4.3,0.15,2.79,31.1486003298394,-13.8791955801029
4.3,0.15,2.7925,31.1001203853994,-13.6902770006916
4.3,0.15,2.795,31.0661000149634,-13.5159870450854
4.3,0.15,2.7975,31.0432020732046,-13.3554938369264
4.3,0.15,2.8,31.0288006149837,-13.2077622477081
4.3,0.15,2.8025,31.020845445163,-13.0716870090121
4.3,0.15,2.805,31.0177442168938,-12.9461726677149
4.3,0.15,2.8075,31.0182645580229,-12.8301786512155
4.3,0.15,2.81,31.0214551206659,-12.7227421021566
4.3,0.15,2.8125,31.0265830271348,-12.622986971256
4.3,0.15,2.815,31.0330848628369,-12.5301249209066
4.3,0.15,2.8175,31.0405285488926,-12.4434515964124
4.3,0.15,2.82,31.0485838007226,-12.3623404971303
4.3,0.15,2.8225,31.0569992895501,-12.2862358162606
4.3,0.15,2.825,31.0655850030969,-12.214645063383
4.3,0.15,2.8275,31.0741986250629,-12.1471319326105
4.3,0.15,2.83,31.0827350166101,-12.0833096602329
4.3,0.15,2.8325,31.091118092452,-12.0228349817923
4.3,0.15,2.835,31.099294547758,-11.9654027187826
4.3,0.15,2.8375,31.1072290186472,-11.9107409795493
4.3,0.15,2.84,31.1149003563987,-11.8586069345981
4.3,0.15,2.8425,31.1222987701591,-11.8087831151242
4.3,0.15,2.845,31.129423650157,-11.7610741799221
4.3,0.15,2.8475,31.1362819273577,-11.7153040966246
4.3,0.15,2.85,31.142886859319,-11.6713136863853
4.3,0.15,2.8525,31.1492571582046,-11.6289584854194
4.3,0.15,2.855,31.1554163973725,-11.5881068814814
4.3,0.15,2.8575,31.1613926491328,-11.5486384879667
4.3,0.15,2.86,31.1672183192932,-11.5104427226216
4.3,0.15,2.8625,31.1729301548718,-11.4734175617314
4.3,0.15,2.865,31.1785694105652,-11.437468444071
4.3,0.15,2.8675,31.1841821678252,-11.4025073018476
4.3,0.15,2.87,31.1898198082442,-11.368451698355
4.3,0.15,2.8725,31.1955396509076,-11.3352240541162
4.3,0.15,2.875,31.2014057719682,-11.3027509449456
4.3,0.15,2.8775,31.2074900345589,-11.2709624566252
4.3,0.15,2.88,31.2138733690461,-11.2397915817931
4.3,0.15,2.8825,31.2206473585263,-11.2091736451785
4.3,0.15,2.885,31.2279162037321,-11.1790457435084
4.3,0.15,2.8875,31.2357991670197,-11.1493461862406
4.3,0.15,2.89,31.2444336295675,-11.1200139227764
4.3,0.15,2.8925,31.2539789432489,-11.0909879409909
4.3,0.15,2.895,31.2646213247279,-11.0622066209045
4.3,0.15,2.8975,31.2765801329996,-11.0336070263061
4.3,0.15,2.9,31.2901160064935,-11.0051241166432
4.3,0.15,2.9025,31.3055415333078,-10.976689862483
4.3,0.15,2.905,31.3232354222542,-10.9482322524075
4.3,0.15,2.9075,31.3436615888212,-10.9196741914219
4.3,0.15,2.91,31.3673952618819,-10.8909323191992
4.3,0.15,2.9125,31.3951593133072,-10.8619158378128
4.3,0.15,2.915,31.4278757943576,-10.8325255685774
4.3,0.15,2.9175,31.4667406403582,-10.8026537320142
4.3,0.15,2.92,31.5133346399617,-10.7721855303807
4.3,0.15,2.9225,31.5697929397499,-10.7410048884983
4.3,0.15,2.925,31.6390724234979,-10.7090095811117
4.3,0.15,2.9275,31.7253895732617,-10.6761477186979
4.3,0.15,2.93,31.8349698664917,-10.6425042696791
4.3,0.15,2.9325,31.9773998507309,-10.6085105726488
4.3,0.15,2.935,32.1682281109923,-10.5754775356106
4.3,0.15,2.9375,32.4343821652804,-10.547063898427
4.3,0.15,2.94,32.8266399979983,-10.5338112700611
4.3,0.15,2.9425,33.4522773962094,-10.5696874630157
4.3,0.15,2.945,34.5751638874532,-10.7895504135114
4.3,0.15,2.9475,36.9480071772992,-11.9662665044986
4.3,0.15,2.95,39.4434218770705,-20.60316175165
4.3,0.15,2.9525,25.0573461612066,-19.3536447988202
4.3,0.15,2.955,26.2138327630055,-13.6702823938678
4.3,0.15,2.9575,27.4949506289728,-12.2014632384466
4.3,0.15,2.96,28.2231781485222,-11.6178560062407
4.3,0.15,2.9625,28.6714275070982,-11.3135755666105
4.3,0.15,2.965,28.9696540378317,-11.1262658450643
4.3,0.15,2.9675,29.1797422615787,-10.9974269628394
4.3,0.15,2.97,29.3340257197082,-10.9015146366189
4.3,0.15,2.9725,29.4508578728533,-10.8257926342593
4.3,0.15,2.975,29.5413781213717,-10.7632656223745
4.3,0.15,2.9775,29.612721432518,-10.7097979585741
4.3,0.15,2.98,29.6696627105438,-10.6627990610813
4.3,0.15,2.9825,29.7155154080844,-10.6205687251842
4.3,0.15,2.985,29.75264983323,-10.5819474576586
4.3,0.15,2.9875,29.7828060183066,-10.5461187121209
4.3,0.15,2.99,29.807290038775,-10.5124915658858
4.3,0.15,2.9925,29.8271013736191,-10.4806282465982
4.3,0.15,2.995,29.843017955456,-10.4501977838344
4.3,0.15,2.9975,29.8556544244897,-10.4209454631504
4.3,0.15,3,29.8655029319764,-10.3926721575033
4.3,0.16,2,38.699860381811,-11.5216170423229
4.3,0.16,2.0025,38.6799672145151,-11.5250284608554
4.3,0.16,2.005,38.6600383572329,-11.5283475283113
4.3,0.16,2.0075,38.6400741172237,-11.531573761709
4.3,0.16,2.01,38.6200748037028,-11.5347066771613
4.3,0.16,2.0125,38.6000407277374,-11.537745789883
4.3,0.16,2.015,38.5799722021372,-11.5406906141976
4.3,0.16,2.0175,38.5598695413383,-11.5435406635456
4.3,0.16,2.02,38.5397330612808,-11.546295450492
4.3,0.16,2.0225,38.5195630792796,-11.5489544867351
4.3,0.16,2.025,38.4993599138885,-11.5515172831151
4.3,0.16,2.0275,38.4791238847561,-11.5539833496245
4.3,0.16,2.03,38.4588553124753,-11.5563521954175
4.3,0.16,2.0325,38.4385545184231,-11.5586233288224
4.3,0.16,2.035,38.4182218245929,-11.5607962573529
4.3,0.16,2.0375,38.3978575534184,-11.5628704877222
4.3,0.16,2.04,38.3774620275867,-11.5648455258573
4.3,0.16,2.0425,38.357035569843,-11.5667208769157
4.3,0.16,2.045,38.336578502785,-11.5684960453027
4.3,0.16,2.0475,38.3160911486459,-11.5701705346917
4.3,0.16,2.05,38.2955738290668,-11.5717438480459
4.3,0.16,2.0525,38.2750268648577,-11.5732154876427
4.3,0.16,2.055,38.2544505757457,-11.5745849551006
4.3,0.16,2.0575,38.233845280111,-11.5758517514092
4.3,0.16,2.06,38.2132112947089,-11.5770153769627
4.3,0.16,2.0625,38.1925489343783,-11.5780753315965
4.3,0.16,2.065,38.1718585117356,-11.5790311146286
4.3,0.16,2.0675,38.1511403368528,-11.5798822249055
4.3,0.16,2.07,38.1303947169201,-11.5806281608521
4.3,0.16,2.0725,38.1096219558914,-11.5812684205291
4.3,0.16,2.075,38.0888223541122,-11.5818025016943
4.3,0.16,2.0775,38.0679962079296,-11.5822299018728
4.3,0.16,2.08,38.0471438092824,-11.5825501184333
4.3,0.16,2.0825,38.0262654452717,-11.5827626486729
4.3,0.16,2.085,38.0053613977103,-11.5828669899117
4.3,0.16,2.0875,37.9844319426504,-11.5828626395965
4.3,0.16,2.09,37.9634773498875,-11.5827490954156
4.3,0.16,2.0925,37.9424978824417,-11.5825258554264
4.3,0.16,2.095,37.9214937960131,-11.5821924181949
4.3,0.16,2.0975,37.9004653384112,-11.5817482829508
4.3,0.16,2.1,37.8794127489572,-11.581192949758
4.3,0.16,2.1025,37.8583362578583,-11.580525919702
4.3,0.16,2.105,37.8372360855515,-11.5797466950968
4.3,0.16,2.1075,37.8161124420175,-11.5788547797127
4.3,0.16,2.11,37.7949655260621,-11.5778496790254
4.3,0.16,2.1125,37.7737955245641,-11.576730900492
4.3,0.16,2.115,37.7526026116886,-11.5754979538517
4.3,0.16,2.1175,37.7313869480649,-11.5741503514576
4.3,0.16,2.12,37.7101486799259,-11.5726876086396
4.3,0.16,2.1225,37.6888879382098,-11.5711092441031
4.3,0.16,2.125,37.667604837621,-11.5694147803652
4.3,0.16,2.1275,37.6462994756501,-11.5676037442324
4.3,0.16,2.13,37.6249719315506,-11.5656756673242
4.3,0.16,2.1325,37.6036222652725,-11.5636300866456
4.3,0.16,2.135,37.5822505163491,-11.5614665452123
4.3,0.16,2.1375,37.5608567027388,-11.5591845927355
4.3,0.16,2.14,37.5394408196182,-11.5567837863692
4.3,0.16,2.1425,37.5180028381272,-11.554263691526
4.3,0.16,2.145,37.4965427040644,-11.5516238827681
4.3,0.16,2.1475,37.475060336532,-11.5488639447787
4.3,0.16,2.15,37.4535556265303,-11.545983473422
4.3,0.16,2.1525,37.4320284355012,-11.5429820768978
4.3,0.16,2.155,37.41047859382,-11.5398593769996
4.3,0.16,2.1575,37.3889058992371,-11.5366150104845
4.3,0.16,2.16,37.3673101152693,-11.5332486305641
4.3,0.16,2.1625,37.3456909695417,-11.5297599085269
4.3,0.16,2.165,37.3240481520829,-11.5261485355011
4.3,0.16,2.1675,37.3023813135744,-11.5224142243717
4.3,0.16,2.17,37.280690063558,-11.5185567118621
4.3,0.16,2.1725,37.2589739686048,-11.5145757607936
4.3,0.16,2.175,37.2372325504497,-11.5104711625382
4.3,0.16,2.1775,37.2154652840979,-11.5062427396766
4.3,0.16,2.18,37.1936715959096,-11.5018903488801
4.3,0.16,2.1825,37.1718508616712,-11.4974138840314
4.3,0.16,2.185,37.1500024046629,-11.4928132796013
4.3,0.16,2.1875,37.1281254937332,-11.4880885143025
4.3,0.16,2.19,37.1062193413943,-11.4832396150363
4.3,0.16,2.1925,37.0842831019539,-11.4782666611564
4.3,0.16,2.195,37.0623158696997,-11.4731697890677
4.3,0.16,2.1975,37.0403166771595,-11.4679491971848
4.3,0.16,2.2,37.0182844934579,-11.4626051512716
4.3,0.16,2.2025,36.9962182227978,-11.4571379901854
4.3,0.16,2.205,36.974116703097,-11.4515481320501
4.3,0.16,2.2075,36.9519787048144,-11.4458360808818
4.3,0.16,2.21,36.9298029300041,-11.4400024336908
4.3,0.16,2.2125,36.9075880116428,-11.4340478880833
4.3,0.16,2.215,36.8853325132787,-11.4279732503871
4.3,0.16,2.2175,36.8630349290575,-11.42177944432
4.3,0.16,2.22,36.840693684187,-11.4154675202229
4.3,0.16,2.2225,36.8183071359088,-11.4090386648741
4.3,0.16,2.225,36.7958735750529,-11.4024942118978
4.3,0.16,2.2275,36.7733912282579,-11.3958356527767
4.3,0.16,2.23,36.7508582609506,-11.3890646484743
4.3,0.16,2.2325,36.7282727811819,-11.3821830416619
4.3,0.16,2.235,36.7056328444318,-11.375192869542
4.3,0.16,2.2375,36.6829364594995,-11.3680963772479
4.3,0.16,2.24,36.6601815956073,-11.3608960317869
4.3,0.16,2.2425,36.6373661908536,-11.3535945364836
4.3,0.16,2.245,36.6144881621619,-11.346194845862
4.3,0.16,2.2475,36.5915454168775,-11.3387001808883
4.3,0.16,2.25,36.5685358661728,-11.3311140444742
